group_id,artifact_id,version_number
org.dbtools,dbtools-android,2.2.1
com.ning,async-http-client,1.9.0-BETA24
com.mikepenz,materialdrawer,4.6.0
com.netflix.archaius,archaius-scala,0.5.16
com.nimbusds,nimbus-jose-jwt,2.13.0
org.dbtools,dbtools-android,2.2.2
com.ning,async-http-client,1.9.0-BETA3
com.mikepenz,materialdrawer,4.6.1
com.nimbusds,nimbus-jose-jwt,2.13.1
org.dbtools,dbtools-android,2.2.3
com.ning,async-http-client,1.9.0-BETA4
com.netflix.archaius,archaius-scala,0.5.3
com.mikepenz,materialdrawer,4.6.2
com.nimbusds,nimbus-jose-jwt,2.14.0
com.mikepenz,materialdrawer,4.6.3
org.dbtools,dbtools-android,2.3.0
com.netflix.archaius,archaius-scala,0.5.4
com.ning,async-http-client,1.9.0-BETA5
com.nimbusds,nimbus-jose-jwt,2.15.0
com.mikepenz,materialdrawer,4.6.4
org.dbtools,dbtools-android,2.5.0
com.netflix.archaius,archaius-scala,0.5.5
com.ning,async-http-client,1.9.0-BETA6
com.nimbusds,nimbus-jose-jwt,2.15.1
com.mikepenz,materialdrawer,5.0.0
com.netflix.archaius,archaius-scala,0.5.6
org.dbtools,dbtools-android,2.5.1
com.ning,async-http-client,1.9.0-BETA7
com.nimbusds,nimbus-jose-jwt,2.17
com.nimbusds,nimbus-jose-jwt,2.15.2
com.mikepenz,materialdrawer,5.0.1
com.netflix.archaius,archaius-scala,0.5.8
org.dbtools,dbtools-android,2.5.2
com.ning,async-http-client,1.9.0-BETA8
com.nimbusds,nimbus-jose-jwt,2.16
com.mikepenz,materialdrawer,5.0.2
org.dbtools,dbtools-android,2.5.3
com.netflix.archaius,archaius-scala,0.5.9
com.ning,async-http-client,1.9.0-BETA9
com.mikepenz,materialdrawer,5.0.3
org.dbtools,dbtools-android,2.5.4
com.netflix.archaius,archaius-scala,0.6.0
com.ning,async-http-client,1.9.1
com.nimbusds,nimbus-jose-jwt,2.17.1
com.mikepenz,materialdrawer,5.0.4
org.dbtools,dbtools-android,2.6.0
com.netflix.archaius,archaius-scala,0.6.1
com.ning,async-http-client,1.9.10
com.ogaclejapan.arclayout,library,0.1.1
com.mikepenz,materialdrawer,5.0.5
org.dbtools,dbtools-android,3.0.0
com.nimbusds,nimbus-jose-jwt,2.17.2
com.netflix.archaius,archaius-scala,0.6.2
com.ogaclejapan.arclayout,library,0.1.2
com.ning,async-http-client,1.9.11
com.mikepenz,materialdrawer,5.0.6
org.dbtools,dbtools-android,3.1.0
com.nimbusds,nimbus-jose-jwt,2.18
com.netflix.archaius,archaius-scala,0.6.3
com.ogaclejapan.arclayout,library,0.1.3
com.ning,async-http-client,1.9.12
com.netflix.archaius,archaius-scala,0.6.5
com.mikepenz,materialdrawer,5.0.7
org.dbtools,dbtools-android,3.1.1
com.nimbusds,nimbus-jose-jwt,2.18.1
com.ogaclejapan.arclayout,library,0.1.4
com.ning,async-http-client,1.9.13
com.microsoft.azure,azure-storage,1.1.0
com.mikepenz,materialdrawer,5.0.8
org.dbtools,dbtools-android,3.1.2
com.netflix.archaius,archaius-scala,0.6.6
com.nimbusds,nimbus-jose-jwt,2.18.2
