group_id,artifact_id,version_number
com.mikepenz.materialdrawer,library,2.7.1
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.27
com.mikepenz.materialdrawer,library,2.7.5
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.28
com.mikepenz.materialdrawer,library,2.7.6
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.29
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.30
com.mikepenz.materialdrawer,library,2.7.7
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.31
com.mikepenz.materialdrawer,library,2.7.8
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.32
com.mikepenz.materialdrawer,library,2.7.9
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.33
com.nesscomputing.components,ness-pg-embedded,2.4.0
com.mikepenz.materialdrawer,library,2.8.0
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.34
com.nesscomputing.components,ness-pg-embedded,2.4.1
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.35
com.mikepenz.materialdrawer,library,2.8.1
com.nesscomputing.components,ness-pg-embedded,2.4.2
com.mikepenz.materialdrawer,library,2.8.2
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.36
com.nesscomputing.components,ness-pg-embedded,2.4.3
com.mikepenz.materialdrawer,library,2.9.0
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.37
com.nesscomputing.components,ness-pg-embedded,2.5.0
com.mikepenz.materialdrawer,library,2.9.1
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.38
com.nesscomputing.components,ness-pg-embedded,2.6.0
com.mikepenz.materialdrawer,library,2.9.2
com.netflix.archaius,archaius2-archaius1-bridge,2.0.0-rc.39
